text,sentiment,clean_text
@United WiFi onboard 737-800 far superior in pricing and performance (user-perceived bandwidth and Late Flightncy) to recent @GoGo experiences.,positive,wifi onboard 737 800 far superior in pricing and performance  user perceived bandwidth and late flightncy  to recent experiences 
@JetBlue's CEO battles to appease passengers and Wall Street - http://t.co/uy28D1UEgX http://t.co/vJFV7KSGcQ,positive,ceo battles to appease passengers and wall street  
"@united my flight landed 50 min, but we are being told to stay on the plane, haven't pulled up to the gate &amp; have little to no information.",negative,my flight landed 50 min  but we are being told to stay on the plane  haven t pulled up to the gate  amp  have little to no information 
@USAirways - been on hold with reservations for over 30 min already! #worstairline,negative,  been on hold with reservations for over 30 min already   worstairline
@USAirways @PhilaCarService looks like a long trip from cancun to philly? 9 hours Late Flight? Seriously?,negative,looks like a long trip from cancun to philly  9 hours late flight  seriously 
@AmericanAir if I could fly an md80/dc10 I would be so happy I live that plane so much md80 is love md80 is life.,positive,if i could fly an md80 dc10 i would be so happy i live that plane so much md80 is love md80 is life 
Please don't. RT “@JetBlue: Our fleet's on fleek. http://t.co/gdzadXzBYA”,neutral,please don t  rt   jetblue  our fleet s on fleek 
@AmericanAir @USAirways over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it...,negative,over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it   
@USAirways yes. It says bag is being delivered. The local number says Not Open. Asked main # for cust service got hung up on.,negative,yes  it says bag is being delivered  the local number says not open  asked main   for cust service got hung up on 
@AmericanAir all of these issues are not based on weather or things that are out of your control. These  issues are based on negligence.,negative,all of these issues are not based on weather or things that are out of your control  these issues are based on negligence 
@AmericanAir On hold for 20 mins and then used the call back service only to have an agent call me and put me on hold forever-anyone there?,negative,on hold for 20 mins and then used the call back service only to have an agent call me and put me on hold forever anyone there 
@SouthwestAir @love_dragonss LAUREN IM SCREAKJMF,neutral,lauren im screakjmf
@united Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in,neutral,can you help me get a flight out tonight to houston just don t want to be stuck here till monday with all this bad weather moving in
"@JetBlue awesome, thanks!",positive,awesome  thanks 
@AmericanAir I took the day off from work and drove 9 hours round trip to rescue my daughter and 3 other students from LaGuardia. Thanks!,negative,i took the day off from work and drove 9 hours round trip to rescue my daughter and 3 other students from laguardia  thanks 
@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,negative,not yet  i complained about the guy who checked my luggage in as he was throwing the bags around  unfortunate coincidence i hope 
@VirginAmerica is your website ever coming back online?,neutral,is your website ever coming back online 
@SouthwestAir three hour flight to Orlando and no wifi? Uncool. #firstworldproblems,negative,three hour flight to orlando and no wifi  uncool   firstworldproblems
@JetBlue when will you release flights for February 2016?,neutral,when will you release flights for february 2016 
@SouthwestAir flying back to Denver tomorrow. Should I rebook?,neutral,flying back to denver tomorrow  should i rebook 
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive, flight home to  dc  sunset  globe in   backtowinter back to  work   refreshed
@USAirways @OBJ_3 even airlines are scheming to get a follow from OBJ LMAOOO 😂😂😂😂,neutral,even airlines are scheming to get a follow from obj lmaooo     
@USAirways I've been on hold for over 2 1/2 hours - there has to be an easier way to Cancelled Flight/get a refund... 😑😩 http://t.co/Cm4roIypc2,negative,i ve been on hold for over 2 1 2 hours   there has to be an easier way to cancelled flight get a refund      
@AmericanAir can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in,neutral,can you help me update a birthday that was incorrectly input in a reservation  this is preventing me from checking in
@JetBlue you're taking me to New Orleans in two weeks so I'll picture that while I shiver #forevercold,neutral,you re taking me to new orleans in two weeks so i ll picture that while i shiver  forevercold
@SouthwestAir thanks connection thru Nashville have A1 boarding pass get to Dallas gate boarding 40 min before flt get end of B group,positive,thanks connection thru nashville have a1 boarding pass get to dallas gate boarding 40 min before flt get end of b group
"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",negative,not 100  sure  however my ticket included one checked bag  therefore this charge was extra and completely unanticipated 
@AmericanAir POOR EXPERIENCE 2day at ord chkin. 8 emp. w/3 cust. 10 waiting. Asked to speak w/supervisor. Told 20 min. In a mtg!! What?!?!,negative,poor experience 2day at ord chkin  8 emp  w 3 cust  10 waiting  asked to speak w supervisor  told 20 min  in a mtg   what    
@SouthwestAir inflight entertainment.  Tonight a Willie Nelson impersonator sang for the passengers #peanutsandtoons http://t.co/kCDdOD7uFF,neutral,inflight entertainment  tonight a willie nelson impersonator sang for the passengers  peanutsandtoons
@USAirways have checked all day.  CHO needs added.  Please evaluate.,negative,have checked all day  cho needs added  please evaluate 
@USAirways what's the charge for oversize? Not overweight,neutral,what s the charge for oversize  not overweight
"@SouthwestAir missing out on over 6,000 points in one account. They're now spread over four assuming I create accounts for them",negative,missing out on over 6 000 points in one account  they re now spread over four assuming i create accounts for them
@USAirways my number is 214-725-1966.  CANT WAIT...LOL #usairsucks,negative,my number is 214 725 1966  cant wait   lol  usairsucks
@JetBlue I believe you have to follow me so I can send you a message,neutral,i believe you have to follow me so i can send you a message
@united 25 minute hold is 1 hr. 25 min. @ABC11_WTVD,negative,25 minute hold is 1 hr  25 min 
"@SouthwestAir alas, it was pretty full so we had to entertain ourselves with witty repartee ...",negative,alas  it was pretty full so we had to entertain ourselves with witty repartee    
"@USAirways tough night, two 90 minute calls, on hold, delayed here in Phoenix for two days because of one aircraft not ready? Not acceptable",negative,tough night  two 90 minute calls  on hold  delayed here in phoenix for two days because of one aircraft not ready  not acceptable
@USAirways Absolutely!! The staff was amazing!!,positive,absolutely   the staff was amazing  
@JetBlue sis and 16 month old nephew are. Last nights flight and this am mega delayed. Now this evening's is starting w delays. Why?,negative,sis and 16 month old nephew are  last nights flight and this am mega delayed  now this evening s is starting w delays  why 
@SouthwestAir trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. http://t.co/0BJNz4EIX5,negative,trying to rebook flight  on hold for 23 mins before disconnected and now almost 40 mins  unbelievable 
@AmericanAir Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?,negative,why did i have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane 
@USAirways 2.5 hours Late Flightr and the flight has been Cancelled Flightled. You gotta work on your internal communication skills.,negative,2 5 hours late flightr and the flight has been cancelled flightled  you gotta work on your internal communication skills 
@united The flight turned around for mechanical reasons on 1/30/15.  Never to fly United again as they don't check their planes properly.,negative,the flight turned around for mechanical reasons on 1 30 15  never to fly united again as they don t check their planes properly 
@USAirways your delayed flight out of Wilmington made me miss my flight out of Charlotte. Figure out how to take off and arrive on time.,negative,your delayed flight out of wilmington made me miss my flight out of charlotte  figure out how to take off and arrive on time 
@USAirways stranded in Philly- #Starving and can't get a meal voucher even though your plane had mechanical issue /  next flight in 10 hrs,negative,stranded in philly   starving and can t get a meal voucher even though your plane had mechanical issue   next flight in 10 hrs
"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",negative,thanks for delaying our flight for an hour  missing our connecting flight and terrible customer service   neveragain  vacation
@AmericanAir so am I going to be homeless or do I have a place to stay tonight? Can you respond to me here so I can go back to sleep?,negative,so am i going to be homeless or do i have a place to stay tonight  can you respond to me here so i can go back to sleep 
"@united Your ""Loyalty Team"" basically flipped me off via phone, but thanks. Maybe Google ""loyalty"" and get back to me? ^LOL",negative,your  loyalty team  basically flipped me off via phone  but thanks  maybe google  loyalty  and get back to me   lol
"@SouthwestAir hey southwest! Can I see @Imaginedragons in Atlanta? My friend has never been there, loves them, and he is from Taiwan!",neutral,hey southwest  can i see in atlanta  my friend has never been there  loves them  and he is from taiwan 
@JetBlue incredible PR team. 👏👏👏👏,positive,incredible pr team      
@USAirways @AmericanAir I was supposed to get from fresno to pittsburgh by 10pm.  Instead I'm now not getting in until 4pm... tomorrow,negative,i was supposed to get from fresno to pittsburgh by 10pm  instead i m now not getting in until 4pm    tomorrow
@united this is it... Last time I fly #UnitedAirlines  you screw up every trip now will be stuck in ord and miss work.,negative,this is it    last time i fly  unitedairlines you screw up every trip now will be stuck in ord and miss work 
@JetBlue  What are your rules on checked baggage and carry ons from SLC to SJO?,neutral,what are your rules on checked baggage and carry ons from slc to sjo 
@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer,negative,sitting on the plane in jfk waiting to take off doors are open catering is stocking up we are delayed but they couldn t be nicer
@AmericanAir we have been advised to turn this issue over to the police due to the sexual assult THANK YOU FOR ALLOWING THAT ON YOUR PLANE!,negative,we have been advised to turn this issue over to the police due to the sexual assult thank you for allowing that on your plane 
"@JetBlue may I check my 17-month-old child's fold-up crib for free on my flight tomorrow, similar to your policy for infant car seats?",neutral,may i check my 17 month old child s fold up crib for free on my flight tomorrow  similar to your policy for infant car seats 
@united you guys are gay,negative,you guys are gay
"@SouthwestAir Why, when I booked via phone after calling the A List preferred #, didn't my KTA get added to the ticket??? Must I use web?",negative,why  when i booked via phone after calling the a list preferred    didn t my kta get added to the ticket    must i use web 
@JetBlue had a great experience working with Glenn Coles at Buffalo-Niagara Airport!! Top notch employee,positive,had a great experience working with glenn coles at buffalo niagara airport   top notch employee
@SouthwestAir Thanks for making good on @PoteetTJ 's Cancelled Flightled flight.,positive,thanks for making good on  s cancelled flightled flight 
You don't have to do this “@JetBlue: Our fleet's on fleek. http://t.co/iZfofgjzUi”,neutral,you don t have to do this   jetblue  our fleet s on fleek 
@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,negative,i sent you a dm with my file reference number   i just want to know if someone has located my bag even if it s not here yet 
@SouthwestAir iiiii need help with my flight schedule!!! haha,neutral,iiiii need help with my flight schedule    haha
@united your customer service is terrible,negative,your customer service is terrible
@USAirways I have been on hold for over one hour waiting to reschedule a flight. How much longer should I expect?,negative,i have been on hold for over one hour waiting to reschedule a flight  how much longer should i expect 
@AmericanAir it's taken care of already. I've come to expect this level of horrible service from you time and time again,negative,it s taken care of already  i ve come to expect this level of horrible service from you time and time again
@united ouch not fair,negative,ouch not fair
@AmericanAir hey there me again from yesterday im still on hold,negative,hey there me again from yesterday im still on hold
"@USAirways Flight 2069 from JFK to Charlotte, then 3750 from Charlotte to Birmingham. 2 previous flights to HSV were Cancelled Flightled.",negative,flight 2069 from jfk to charlotte  then 3750 from charlotte to birmingham  2 previous flights to hsv were cancelled flightled 
@SouthwestAir How about auto check in for CP holders? Come on.,negative,how about auto check in for cp holders  come on 
@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed,negative,that s wonderful  unfortunately doesn t help on this 4 hr flight between to major u s  cities   disappointed
@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,negative,is by far the worst airline i ve ever had the misfortune of flying with in all the 44 countries i ve flown to    it s outrageous 
@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!,positive,kudos for adding  passbook to your app  i love it 
@USAirways your customer service is horrible,negative,your customer service is horrible
"@AmericanAir - I'd be happy to hold on the phone, but your phone system is not allowing that and simply hangs up.",negative,  i d be happy to hold on the phone  but your phone system is not allowing that and simply hangs up 
@AmericanAir Thank you,positive,thank you
@USAirways i hope i get the opportunity to join the team with this job opening!,positive,i hope i get the opportunity to join the team with this job opening 
"@USAirways on the DL, send Ethan some new pants and some ""white revive"" laundry tabs. He's a great guy, good crew, he's just, err, single.",positive,on the dl  send ethan some new pants and some  white revive  laundry tabs  he s a great guy  good crew  he s just  err  single 
@united employee=faceless. Don't throw them under the bus. Starts with management. I'm almost a million miler and own my own company. 1/2,negative,employee faceless  don t throw them under the bus  starts with management  i m almost a million miler and own my own company  1 2
@JetBlue what else on this plane is duct-taped?? #ohboy #shouldigetoutandpush #airplane #flying… http://t.co/R9ZsVzuRLw,negative,what else on this plane is duct taped    ohboy  shouldigetoutandpush  airplane  flying 
. @USAirways It's been Cancelled Flighted. Your SM response is slow.,negative,  it s been cancelled flighted  your sm response is slow 
@JetBlue Great thank you!,positive,great thank you 
@USAirways please help on hold 3 hours can't change flights I'm stuck here,negative,please help on hold 3 hours can t change flights i m stuck here
@USAirways any tips on getting a hotel that your airline won't get for any of us even though we were told that we'd make our flight?,negative,any tips on getting a hotel that your airline won t get for any of us even though we were told that we d make our flight 
@united can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved,negative,can you you think about hiring some baggage attendants at ewr  been waiting for bags for 1 hr  united   overcharged amp underserved
@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!,positive,is there a way to know who checked my bag on the curb  she was awesome    and want to be sure she gets a high five 
@AmericanAir as usual my next flight shows on time but it's suppose to leave in 5 minutes and hasn't boarded,negative,as usual my next flight shows on time but it s suppose to leave in 5 minutes and hasn t boarded
@united the long wait was the icing on the cake. Why don't you fix your reservation system so the confirm # doesn't get changed mid-travel,negative,the long wait was the icing on the cake  why don t you fix your reservation system so the confirm   doesn t get changed mid travel
@AmericanAir Please explain why it costs almost the same price of a full roundtrip fair to only change the departure time of a flight?,negative,please explain why it costs almost the same price of a full roundtrip fair to only change the departure time of a flight 
"@united on #UA3785 tonight and told delayed due to Late Flight crew. No idea where crew coming from, your staff ++unhelpful. Any ideas?",negative,on  ua3785 tonight and told delayed due to late flight crew  no idea where crew coming from  your staff   unhelpful  any ideas 
"@united because of the horrific flight experience, you guys have made me NEVER want to fly on an airplane every again!!!!!!!",negative,because of the horrific flight experience  you guys have made me never want to fly on an airplane every again       
"@JetBlue gorgeous day, hope the flight back tomorrow AM is just as pleasant! Thanks",positive,gorgeous day  hope the flight back tomorrow am is just as pleasant  thanks
@AmericanAir pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,negative,pleaseeee find my suitcase  i want deoderant and a clean shirt for work tomorrow   
@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,neutral,when will direct flights from belfast intl to newark resume from their winter break  thanks 
@AmericanAir Your gate attendants in ABQ are awful as was your service. You should be ashamed. Terrible experience here from start to finish,negative,your gate attendants in abq are awful as was your service  you should be ashamed  terrible experience here from start to finish
@SouthwestAir sending now via dm,neutral,sending now via dm
@SouthwestAir my rating for Southwest -9 on s scale of 1 to 10,negative,my rating for southwest  9 on s scale of 1 to 10
@USAirways But every time I call I'm on hold for 45 min and then get disconnected. Any way someone can help?,negative,but every time i call i m on hold for 45 min and then get disconnected  any way someone can help 
"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience",negative,flight ua1665 got delayed 2 hours due to a mechanical issue   could use a free drink or 3 to make up for this inconvenience
@united roundtrip to London on @Delta ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies,negative,roundtrip to london on   i think i will  fyi that s another  1k you just lost   moneynotspentonunited  unfriendlyskies
@AmericanAir overbooked business class from Mia to uvf - after being in the correct seat we were moved back to economy on our special day,negative,overbooked business class from mia to uvf   after being in the correct seat we were moved back to economy on our special day
@AmericanAir been on the phone for 47 minutes...said it would be 10...  Any advice?,negative,been on the phone for 47 minutes   said it would be 10    any advice 
@united I need a customer service manager to contact me please,neutral,i need a customer service manager to contact me please
@united The link in the message I was replying to. #3thparty #ITproblems,neutral,the link in the message i was replying to   3thparty  itproblems
@united download jeokoo the American app for air travelers,neutral,download jeokoo the american app for air travelers
@SouthwestAir if you have a rules you should probably apply them all the times not just sometimes. #shouldhaveflownjetblue,negative,if you have a rules you should probably apply them all the times not just sometimes   shouldhaveflownjetblue
@AmericanAir I’m still waiting - this has been going on far too long. Is there someone I can speak to?,negative,i m still waiting   this has been going on far too long  is there someone i can speak to 
@AmericanAir due to gate agents I missed my connecting flight to Mexico City...not a happy customer AA- let's correct this,negative,due to gate agents i missed my connecting flight to mexico city   not a happy customer aa  let s correct this
@USAirways been on hold 2+ hours trying to reschedule Cancelled Flightled DCA-BOS flight. Can anyone help?,negative,been on hold 2  hours trying to reschedule cancelled flightled dca bos flight  can anyone help 
@SouthwestAir replacing @vitaminwater with beer! Bravo!👏👏 Cheers! 🍻🍻 @Leinenkugels @DosEquis @FatTire,positive,replacing with beer  bravo    cheers    
@USAirways how does an airline misplace an airline attendant?!! been at Reagan airport since 1pm10:15 to Cincy is delayed trying to find her,negative,how does an airline misplace an airline attendant    been at reagan airport since 1pm10 15 to cincy is delayed trying to find her
"@USAirways already did. I travel for a living, no help at all that it will take 3-4 weeks for any repair. And I have to pay to ship to TX.",negative,already did  i travel for a living  no help at all that it will take 3 4 weeks for any repair  and i have to pay to ship to tx 
@USAirways I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight? #youcandobetter,negative,i respect the stress of a merger but one rep to reschedule replane 15 ppl who are already late flight   youcandobetter
@SouthwestAir @TheEllenShow @Imaginedragons this job interferes w/Ellen Show &amp; concerts! will alway treasure my @LiveAtFirefly experience!,neutral,this job interferes w ellen show  amp  concerts  will alway treasure my experience 
@united that's great! pls let me know when u start!,positive,that s great  pls let me know when u start 
"@AmericanAir still no reply to my email sent on 11th February. Even sent an email asking for acknowledgment that's it been recieved, nothing",negative,still no reply to my email sent on 11th february  even sent an email asking for acknowledgment that s it been recieved  nothing
"@AmericanAir but not sufficiently sorry to actually *do* anything about it, I guess. Your systems are presumably beyond reproach or reform.",negative,but not sufficiently sorry to actually  do  anything about it  i guess  your systems are presumably beyond reproach or reform 
@AmericanAir I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm,negative,i loved todays fight  but there was a bad draft on the airplane please add more air to air thanksm
"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩",negative,i understand  i m feeling cranky  i called aa s bag tracker number and heard  your bag has not been located    
@SouthwestAir can you outline the policies for both scenarios?,neutral,can you outline the policies for both scenarios 
@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,negative,stuck in  ord because united can t find their airplane  lol   upset terminal right now 
@SouthwestAir No monkey business we luv SWA!! #mdw2mci #homeandreadyfornexttrip http://t.co/2xJvUn66ZZ,neutral,no monkey business we luv swa    mdw2mci  homeandreadyfornexttrip
"@AmericanAir @CineDrones I just wish that a team member would pick up the phone at this point, let alone be courteous or helpful 😳",negative,i just wish that a team member would pick up the phone at this point  let alone be courteous or helpful  
@AmericanAir the group of minor children were broken up into groups. Some still in Miami. Delta has much better customer service!,negative,the group of minor children were broken up into groups  some still in miami  delta has much better customer service 
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative,use another browser  2015  amp  a brand with a reputation built on tech response doesn t have a cross browser compatible website 
@USAirways 325 minute delay - this is absurd. Feel free to provide credits... http://t.co/e09keJ9bv1,negative,325 minute delay   this is absurd  feel free to provide credits   
"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",negative,loved one s flight atl to ind cancelled flightled due to  ice in indy   sitting here in indy  it is bone dry  tomorrow 4 6  of snow 
"@USAirways how aggravating, zone 5 boarded, overhead empty but forcing bag check. Better not loose bag again! flt1727 http://t.co/w3XS6TVpZg",negative,how aggravating  zone 5 boarded  overhead empty but forcing bag check  better not loose bag again  flt1727
"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",negative,this always happens with you guys  and it makes traveling incredibly stressful and uncomfortable  is that good business to you 
"@USAirways Thanks. No DC yet, I see. I will keep that link and check back. Appreciate it!",positive,thanks  no dc yet  i see  i will keep that link and check back  appreciate it 
@SouthwestAir i hope i can take my selfie stick on the plane today! #goingtovegas,neutral,i hope i can take my selfie stick on the plane today   goingtovegas
@AmericanAir spent hour+ trying to check after to use military ID for luggage then messed up boarding pass &amp; forced into line again.,negative,spent hour  trying to check after to use military id for luggage then messed up boarding pass  amp  forced into line again 
"@JetBlue I was believing you for a minute, but we just got delayed for a 3rd time!",negative,i was believing you for a minute  but we just got delayed for a 3rd time 
@JetBlue Awesome! Thank you! ;),positive,awesome  thank you    
@SouthwestAir we're doing our best; sitting at a gate waiting (while not being given information why we're delayed) isn't making this easy,negative,we re doing our best  sitting at a gate waiting  while not being given information why we re delayed  isn t making this easy
@AmericanAir they did tell that our luggage stayed inside the plane ! Look this video http://t.co/YokkHHQcMP,negative,they did tell that our luggage stayed inside the plane   look this video
"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",neutral,yes  david allan send an email with this number  kmm24999563v99860l0km  and case 8719519
@JetBlue trying to charge us $550 dollars cash for tickets we paid for months in advance #isthisreal #nevertoldus #jetblue #NeverAgain,negative,trying to charge us  550 dollars cash for tickets we paid for months in advance  isthisreal  nevertoldus  jetblue  neveragain
@JetBlue of course !!!!,positive,of course     
".@AmericanAir: the best the agent could do is put me on a flight arriving tomorrow afternoon, with a six hour layover.",negative,  americanair  the best the agent could do is put me on a flight arriving tomorrow afternoon  with a six hour layover 
“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man,neutral,  jetblue  we hope you re still our bae  man
@JetBlue @WSJ #JETBLUE treated me right as a #disabledtraveler thanks for a no hassle flight to @jamaica,positive, jetblue treated me right as a  disabledtraveler thanks for a no hassle flight to
"@united 3 hrs searching for flts, find 1 on site &amp; can't book the $ offered bc 1 seg isn't really available. #lies #falseadvertising",negative,3 hrs searching for flts  find 1 on site  amp  can t book the   offered bc 1 seg isn t really available   lies  falseadvertising
@united ...and when that doesn't work...,negative,   and when that doesn t work   
@AmericanAir ask the 10 people you left behind at Miami airport because you guys could not wait 5 minutes and ... http://t.co/XPM98Igqjn,negative,ask the 10 people you left behind at miami airport because you guys could not wait 5 minutes and    
@united we've been here since 3am and you've Cancelled Flightled our flight twice,negative,we ve been here since 3am and you ve cancelled flightled our flight twice
@USAirways the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...,negative,the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins   
@united that's not an apology. Say it.,negative,that s not an apology  say it 
"@SouthwestAir have a flight from Oakland to SNA at 7:30, and I asked if I can take 5:30, even there are 5 empty sests. Answer is ""No"". :(",negative,have a flight from oakland to sna at 7 30  and i asked if i can take 5 30  even there are 5 empty sests  answer is  no     
@AmericanAir your customer service is inferior to that of a nationalized third world nation's airline. Get it together.,negative,your customer service is inferior to that of a nationalized third world nation s airline  get it together 
@united has the best pilots ever Thank you guys for the great trip #thatisall,positive,has the best pilots ever thank you guys for the great trip  thatisall
@united I will thank you!,positive,i will thank you 
"@SouthwestAir loving the new planes and the lighting, only wish windows were larger. http://t.co/h44uJ63CJG",positive,loving the new planes and the lighting  only wish windows were larger 
@united A friend traveled via UA1470 today and never got their luggage. What recourse does the person have? Buy clothes and get reimbursed?,negative,a friend traveled via ua1470 today and never got their luggage  what recourse does the person have  buy clothes and get reimbursed 
"@USAirways I'm on vacation, This is the LAST thing I want to be doing. Is anyone even answering the phone?",negative,i m on vacation  this is the last thing i want to be doing  is anyone even answering the phone 
@SouthwestAir #worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere,negative, worstthingever 2days late flightr our lost bag was fedexed somewhere  do you know where cause we don t  amp  it was delivered somewhere
@united so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.,negative,so glad i ve been waiting for 1 hour and 15 minutes and ive been transferred 3 times without resolving anything  worst service ever 
@USAirways you can't control the weather but you can control customer service. Without luggage for 24 hours &amp; still yet to speak to a human.,negative,you can t control the weather but you can control customer service  without luggage for 24 hours  amp  still yet to speak to a human 
"@USAirways Been dealing w/ @americanair to solve the probs your team created. Your Manch, NH staff is clearly your C-team, btw. #NotEvenJV",negative,been dealing w  to solve the probs your team created  your manch  nh staff is clearly your c team  btw   notevenjv
@USAirways this response doesn't correct the fact that your pilot failed to keep passengers updated,negative,this response doesn t correct the fact that your pilot failed to keep passengers updated
"@JetBlue Im just saying change can be amazing, like Miami. 😉",neutral,im just saying change can be amazing  like miami   
"@SouthwestAir just did, thank you",neutral,just did  thank you
@AmericanAir @elwoodblues77 I'm sure he understands the rules but you guys just have zero customer service. Staff your damn counters!,negative,i m sure he understands the rules but you guys just have zero customer service  staff your damn counters 
@AmericanAir its Adolfo Garcia,neutral,its adolfo garcia
@USAirways thank you!!!,positive,thank you   
@SouthwestAir live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!,neutral,live in atlanta but cant enroll in your atlanta companion promotion  error every time  can you help  also sent email  thanks 
@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️,positive,so happy that you can finally put your  southwestairlines boarding pass into passbook  makes life so much easier   
@AmericanAir I've been trying to call your reservations desk for past 12 hours and can't get through.  This is not what I expected.,negative,i ve been trying to call your reservations desk for past 12 hours and can t get through  this is not what i expected 
@AmericanAir No worries at all. Y’all have a good one!!,positive,no worries at all  y all have a good one  
"@USAirways Thanks. Suggestion: stop the promo messages after a bit and just run music &amp; a msg that says ""call volume is high."" #vrm",neutral,thanks  suggestion  stop the promo messages after a bit and just run music  amp  a msg that says  call volume is high    vrm
@SouthwestAir can I please go see @Imaginedragons on friday? I promise I'll only fly Southwest when going back home to NH #MHTforlife,neutral,can i please go see on friday  i promise i ll only fly southwest when going back home to nh  mhtforlife
@USAirways so disappointed. Least you could do is give us access to admirals club for an hour before our flight to our wedding!,negative,so disappointed  least you could do is give us access to admirals club for an hour before our flight to our wedding 
@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!,negative,almost 2 hours on hold now  i just need to cancelled flight a flight and get a refund  other airlines are operating 
@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!,negative, worst2unitedflightsever ua 236 las to iad 2 24 mechanical problems again   took off   had to land for fix   delayed again  wtfodds 
@USAirways trying to change flight because of airline travel advisory. on hold for 45 mins. Help!,negative,trying to change flight because of airline travel advisory  on hold for 45 mins  help 
@united how else would I know it was denied?,negative,how else would i know it was denied 
@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,positive,you guys did an amazing job today  know it s hard  thanks to kate appleton for all her hard work reflight booking problems my friends and me 
"@AmericanAir first the pilot, then the catering...",negative,first the pilot  then the catering   
@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable,negative,asked flight attendant what typical compensation would be  amp  says we might get free tv   unacceptable
@SouthwestAir That's an awesome library.,positive,that s an awesome library 
@AmericanAir excellent!  Love you guys!  If it is first class I'll hug ya'll!  See you shortly!,positive,excellent  love you guys  if it is first class i ll hug ya ll  see you shortly 
"“@united: @ItsAaronChriz Sorry to hear about your flight. Do you need help reFlight Booking Problems?”

👎",neutral,  united  sorry to hear about your flight  do you need help reflight booking problems    
@JetBlue I'm all set. About to fly. Not bad for a first date with a giant metal bird machine. She even brought snacks.,positive,i m all set  about to fly  not bad for a first date with a giant metal bird machine  she even brought snacks 
@USAirways 1 hour and counting on hold :( why? http://t.co/clOB5qwMXR,negative,1 hour and counting on hold    why 
@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?,negative,thanks for your attention  i would actually like to make a specific complaint about customer service at dca  what is my best option 
@JetBlue any idea when the flight will actually take off?,neutral,any idea when the flight will actually take off 
"@united my luggage is set to go to DCA however, I am rerouted to Dulles. Currently in NOLO however bags are in Houston. Can you fix this?",negative,my luggage is set to go to dca however  i am rerouted to dulles  currently in nolo however bags are in houston  can you fix this 
